Codepoint,Form,Name
"300","◌̀","COMBINING GRAVE ACCENT"
"301","◌́","COMBINING ACUTE ACCENT"
"302","◌̂","COMBINING CIRCUMFLEX ACCENT"
"303","◌̃","COMBINING TILDE"
"304","◌̄","COMBINING MACRON"
"305","◌̅","COMBINING OVERLINE"
"306","◌̆","COMBINING BREVE"
"307","◌̇","COMBINING DOT ABOVE"
"308","◌̈","COMBINING DIAERESIS"
"309","◌̉","COMBINING HOOK ABOVE"
"30A","◌̊","COMBINING RING ABOVE"
"30B","◌̋","COMBINING DOUBLE ACUTE ACCENT"
"30C","◌̌","COMBINING CARON"
"30D","◌̍","COMBINING VERTICAL LINE ABOVE"
"30E","◌̎","COMBINING DOUBLE VERTICAL LINE ABOVE"
"30F","◌̏","COMBINING DOUBLE GRAVE ACCENT"
"310","◌̐","COMBINING CANDRABINDU"
"311","◌̑","COMBINING INVERTED BREVE"
"312","◌̒","COMBINING TURNED COMMA ABOVE"
"313","◌̓","COMBINING COMMA ABOVE"
"314","◌̔","COMBINING REVERSED COMMA ABOVE"
"315","◌̕","COMBINING COMMA ABOVE RIGHT"
"316","◌̖","COMBINING GRAVE ACCENT BELOW"
"317","◌̗","COMBINING ACUTE ACCENT BELOW"
"318","◌̘","COMBINING LEFT TACK BELOW"
"319","◌̙","COMBINING RIGHT TACK BELOW"
"31A","◌̚","COMBINING LEFT ANGLE ABOVE"
"31B","◌̛","COMBINING HORN"
"31C","◌̜","COMBINING LEFT HALF RING BELOW"
"31D","◌̝","COMBINING UP TACK BELOW"
"31E","◌̞","COMBINING DOWN TACK BELOW"
"31F","◌̟","COMBINING PLUS SIGN BELOW"
"320","◌̠","COMBINING MINUS SIGN BELOW"
"321","◌̡","COMBINING PALATALIZED HOOK BELOW"
"322","◌̢","COMBINING RETROFLEX HOOK BELOW"
"323","◌̣","COMBINING DOT BELOW"
"324","◌̤","COMBINING DIAERESIS BELOW"
"325","◌̥","COMBINING RING BELOW"
"326","◌̦","COMBINING COMMA BELOW"
"327","◌̧","COMBINING CEDILLA"
"328","◌̨","COMBINING OGONEK"
"329","◌̩","COMBINING VERTICAL LINE BELOW"
"32A","◌̪","COMBINING BRIDGE BELOW"
"32B","◌̫","COMBINING INVERTED DOUBLE ARCH BELOW"
"32C","◌̬","COMBINING CARON BELOW"
"32D","◌̭","COMBINING CIRCUMFLEX ACCENT BELOW"
"32E","◌̮","COMBINING BREVE BELOW"
"32F","◌̯","COMBINING INVERTED BREVE BELOW"
"330","◌̰","COMBINING TILDE BELOW"
"331","◌̱","COMBINING MACRON BELOW"
"332","◌̲","COMBINING LOW LINE"
"333","◌̳","COMBINING DOUBLE LOW LINE"
"334","◌̴","COMBINING TILDE OVERLAY"
"335","◌̵","COMBINING SHORT STROKE OVERLAY"
"336","◌̶","COMBINING LONG STROKE OVERLAY"
"337","◌̷","COMBINING SHORT SOLIDUS OVERLAY"
"338","◌̸","COMBINING LONG SOLIDUS OVERLAY"
"339","◌̹","COMBINING RIGHT HALF RING BELOW"
"33A","◌̺","COMBINING INVERTED BRIDGE BELOW"
"33B","◌̻","COMBINING SQUARE BELOW"
"33C","◌̼","COMBINING SEAGULL BELOW"
"33D","◌̽","COMBINING X ABOVE"
"33E","◌̾","COMBINING VERTICAL TILDE"
"33F","◌̿","COMBINING DOUBLE OVERLINE"
"340","◌̀","COMBINING GRAVE TONE MARK"
"341","◌́","COMBINING ACUTE TONE MARK"
"342","◌͂","COMBINING GREEK PERISPOMENI"
"343","◌̓","COMBINING GREEK KORONIS"
"344","◌̈́","COMBINING GREEK DIALYTIKA TONOS"
"345","◌ͅ","COMBINING GREEK YPOGEGRAMMENI"
"346","◌͆","COMBINING BRIDGE ABOVE"
"347","◌͇","COMBINING EQUALS SIGN BELOW"
"348","◌͈","COMBINING DOUBLE VERTICAL LINE BELOW"
"349","◌͉","COMBINING LEFT ANGLE BELOW"
"34A","◌͊","COMBINING NOT TILDE ABOVE"
"34B","◌͋","COMBINING HOMOTHETIC ABOVE"
"34C","◌͌","COMBINING ALMOST EQUAL TO ABOVE"
"34D","◌͍","COMBINING LEFT RIGHT ARROW BELOW"
"34E","◌͎","COMBINING UPWARDS ARROW BELOW"
"34F","◌͏","COMBINING GRAPHEME JOINER"
"350","◌͐","COMBINING RIGHT ARROWHEAD ABOVE"
"351","◌͑","COMBINING LEFT HALF RING ABOVE"
"352","◌͒","COMBINING FERMATA"
"353","◌͓","COMBINING X BELOW"
"354","◌͔","COMBINING LEFT ARROWHEAD BELOW"
"355","◌͕","COMBINING RIGHT ARROWHEAD BELOW"
"356","◌͖","COMBINING RIGHT ARROWHEAD AND UP ARROWHEAD BELOW"
"357","◌͗","COMBINING RIGHT HALF RING ABOVE"
"358","◌͘","COMBINING DOT ABOVE RIGHT"
"359","◌͙","COMBINING ASTERISK BELOW"
"35A","◌͚","COMBINING DOUBLE RING BELOW"
"35B","◌͛","COMBINING ZIGZAG ABOVE"
"35C","◌͜","COMBINING DOUBLE BREVE BELOW"
"35D","◌͝","COMBINING DOUBLE BREVE"
"35E","◌͞","COMBINING DOUBLE MACRON"
"35F","◌͟","COMBINING DOUBLE MACRON BELOW"
"360","◌͠","COMBINING DOUBLE TILDE"
"361","◌͡","COMBINING DOUBLE INVERTED BREVE"
"362","◌͢","COMBINING DOUBLE RIGHTWARDS ARROW BELOW"
"363","◌ͣ","COMBINING LATIN SMALL LETTER A"
"364","◌ͤ","COMBINING LATIN SMALL LETTER E"
"365","◌ͥ","COMBINING LATIN SMALL LETTER I"
"366","◌ͦ","COMBINING LATIN SMALL LETTER O"
"367","◌ͧ","COMBINING LATIN SMALL LETTER U"
"368","◌ͨ","COMBINING LATIN SMALL LETTER C"
"369","◌ͩ","COMBINING LATIN SMALL LETTER D"
"36A","◌ͪ","COMBINING LATIN SMALL LETTER H"
"36B","◌ͫ","COMBINING LATIN SMALL LETTER M"
"36C","◌ͬ","COMBINING LATIN SMALL LETTER R"
"36D","◌ͭ","COMBINING LATIN SMALL LETTER T"
"36E","◌ͮ","COMBINING LATIN SMALL LETTER V"
"36F","◌ͯ","COMBINING LATIN SMALL LETTER X"
"483","◌҃","COMBINING CYRILLIC TITLO"
"484","◌҄","COMBINING CYRILLIC PALATALIZATION"
"485","◌҅","COMBINING CYRILLIC DASIA PNEUMATA"
"486","◌҆","COMBINING CYRILLIC PSILI PNEUMATA"
"487","◌҇","COMBINING CYRILLIC POKRYTIE"
"488","◌҈","COMBINING CYRILLIC HUNDRED THOUSANDS SIGN"
"489","◌҉","COMBINING CYRILLIC MILLIONS SIGN"
"591","◌֑","HEBREW ACCENT ETNAHTA"
"592","◌֒","HEBREW ACCENT SEGOL"
"593","◌֓","HEBREW ACCENT SHALSHELET"
"594","◌֔","HEBREW ACCENT ZAQEF QATAN"
"595","◌֕","HEBREW ACCENT ZAQEF GADOL"
"596","◌֖","HEBREW ACCENT TIPEHA"
"597","◌֗","HEBREW ACCENT REVIA"
"598","◌֘","HEBREW ACCENT ZARQA"
"599","◌֙","HEBREW ACCENT PASHTA"
"59A","◌֚","HEBREW ACCENT YETIV"
"59B","◌֛","HEBREW ACCENT TEVIR"
"59C","◌֜","HEBREW ACCENT GERESH"
"59D","◌֝","HEBREW ACCENT GERESH MUQDAM"
"59E","◌֞","HEBREW ACCENT GERSHAYIM"
"59F","◌֟","HEBREW ACCENT QARNEY PARA"
"5A0","◌֠","HEBREW ACCENT TELISHA GEDOLA"
"5A1","◌֡","HEBREW ACCENT PAZER"
"5A2","◌֢","HEBREW ACCENT ATNAH HAFUKH"
"5A3","◌֣","HEBREW ACCENT MUNAH"
"5A4","◌֤","HEBREW ACCENT MAHAPAKH"
"5A5","◌֥","HEBREW ACCENT MERKHA"
"5A6","◌֦","HEBREW ACCENT MERKHA KEFULA"
"5A7","◌֧","HEBREW ACCENT DARGA"
"5A8","◌֨","HEBREW ACCENT QADMA"
"5A9","◌֩","HEBREW ACCENT TELISHA QETANA"
"5AA","◌֪","HEBREW ACCENT YERAH BEN YOMO"
"5AB","◌֫","HEBREW ACCENT OLE"
"5AC","◌֬","HEBREW ACCENT ILUY"
"5AD","◌֭","HEBREW ACCENT DEHI"
"5AE","◌֮","HEBREW ACCENT ZINOR"
"5AF","◌֯","HEBREW MARK MASORA CIRCLE"
"5B0","◌ְ","HEBREW POINT SHEVA"
"5B1","◌ֱ","HEBREW POINT HATAF SEGOL"
"5B2","◌ֲ","HEBREW POINT HATAF PATAH"
"5B3","◌ֳ","HEBREW POINT HATAF QAMATS"
"5B4","◌ִ","HEBREW POINT HIRIQ"
"5B5","◌ֵ","HEBREW POINT TSERE"
"5B6","◌ֶ","HEBREW POINT SEGOL"
"5B7","◌ַ","HEBREW POINT PATAH"
"5B8","◌ָ","HEBREW POINT QAMATS"
"5B9","◌ֹ","HEBREW POINT HOLAM"
"5BA","◌ֺ","HEBREW POINT HOLAM HASER FOR VAV"
"5BB","◌ֻ","HEBREW POINT QUBUTS"
"5BC","◌ּ","HEBREW POINT DAGESH OR MAPIQ"
"5BD","◌ֽ","HEBREW POINT METEG"
