Codepoint,Form,Name
"591","◌֑","HEBREW ACCENT ETNAHTA"
"592","◌֒","HEBREW ACCENT SEGOL"
"593","◌֓","HEBREW ACCENT SHALSHELET"
"594","◌֔","HEBREW ACCENT ZAQEF QATAN"
"595","◌֕","HEBREW ACCENT ZAQEF GADOL"
"596","◌֖","HEBREW ACCENT TIPEHA"
"597","◌֗","HEBREW ACCENT REVIA"
"598","◌֘","HEBREW ACCENT ZARQA"
"599","◌֙","HEBREW ACCENT PASHTA"
"59A","◌֚","HEBREW ACCENT YETIV"
"59B","◌֛","HEBREW ACCENT TEVIR"
"59C","◌֜","HEBREW ACCENT GERESH"
"59D","◌֝","HEBREW ACCENT GERESH MUQDAM"
"59E","◌֞","HEBREW ACCENT GERSHAYIM"
"59F","◌֟","HEBREW ACCENT QARNEY PARA"
"5A0","◌֠","HEBREW ACCENT TELISHA GEDOLA"
"5A1","◌֡","HEBREW ACCENT PAZER"
"5A3","◌֣","HEBREW ACCENT MUNAH"
"5A4","◌֤","HEBREW ACCENT MAHAPAKH"
"5A5","◌֥","HEBREW ACCENT MERKHA"
"5A6","◌֦","HEBREW ACCENT MERKHA KEFULA"
"5A7","◌֧","HEBREW ACCENT DARGA"
"5A8","◌֨","HEBREW ACCENT QADMA"
"5A9","◌֩","HEBREW ACCENT TELISHA QETANA"
"5AA","◌֪","HEBREW ACCENT YERAH BEN YOMO"
"5AB","◌֫","HEBREW ACCENT OLE"
"5AC","◌֬","HEBREW ACCENT ILUY"
"5AD","◌֭","HEBREW ACCENT DEHI"
"5AE","◌֮","HEBREW ACCENT ZINOR"
"5AF","◌֯","HEBREW MARK MASORA CIRCLE"
"5B0","◌ְ","HEBREW POINT SHEVA"
"5B1","◌ֱ","HEBREW POINT HATAF SEGOL"
"5B2","◌ֲ","HEBREW POINT HATAF PATAH"
"5B3","◌ֳ","HEBREW POINT HATAF QAMATS"
"5B4","◌ִ","HEBREW POINT HIRIQ"
"5B5","◌ֵ","HEBREW POINT TSERE"
"5B6","◌ֶ","HEBREW POINT SEGOL"
"5B7","◌ַ","HEBREW POINT PATAH"
"5B8","◌ָ","HEBREW POINT QAMATS"
"5B9","◌ֹ","HEBREW POINT HOLAM"
"5BA","◌ֺ","HEBREW POINT HOLAM HASER FOR VAV"
"5BB","◌ֻ","HEBREW POINT QUBUTS"
"5BC","◌ּ","HEBREW POINT DAGESH OR MAPIQ"
"5BD","◌ֽ","HEBREW POINT METEG"
"5BF","◌ֿ","HEBREW POINT RAFE"
"5C1","◌ׁ","HEBREW POINT SHIN DOT"
"5C2","◌ׂ","HEBREW POINT SIN DOT"
"5C4","◌ׄ","HEBREW MARK UPPER DOT"
"5C7","◌ׇ","HEBREW POINT QAMATS QATAN"
"610","◌ؐ","ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM"
"611","◌ؑ","ARABIC SIGN ALAYHE ASSALLAM"
"612","◌ؒ","ARABIC SIGN RAHMATULLAH ALAYHE"
"613","◌ؓ","ARABIC SIGN RADI ALLAHOU ANHU"
"614","◌ؔ","ARABIC SIGN TAKHALLUS"
"64B","◌ً","ARABIC FATHATAN"
"64C","◌ٌ","ARABIC DAMMATAN"
"64D","◌ٍ","ARABIC KASRATAN"
"64E","◌َ","ARABIC FATHA"
"64F","◌ُ","ARABIC DAMMA"
"650","◌ِ","ARABIC KASRA"
"651","◌ّ","ARABIC SHADDA"
"652","◌ْ","ARABIC SUKUN"
"653","◌ٓ","ARABIC MADDAH ABOVE"
"654","◌ٔ","ARABIC HAMZA ABOVE"
"655","◌ٕ","ARABIC HAMZA BELOW"
"6E3","◌ۣ","ARABIC SMALL LOW SEEN"
"6EA","◌۪","ARABIC EMPTY CENTRE LOW STOP"
"6EB","◌۫","ARABIC EMPTY CENTRE HIGH STOP"
"6EC","◌۬","ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE"
"6ED","◌ۭ","ARABIC SMALL LOW MEEM"
"730","◌ܰ","SYRIAC PTHAHA ABOVE"
"731","◌ܱ","SYRIAC PTHAHA BELOW"
"732","◌ܲ","SYRIAC PTHAHA DOTTED"
"733","◌ܳ","SYRIAC ZQAPHA ABOVE"
"734","◌ܴ","SYRIAC ZQAPHA BELOW"
"735","◌ܵ","SYRIAC ZQAPHA DOTTED"
"736","◌ܶ","SYRIAC RBASA ABOVE"
"737","◌ܷ","SYRIAC RBASA BELOW"
"738","◌ܸ","SYRIAC DOTTED ZLAMA HORIZONTAL"
"739","◌ܹ","SYRIAC DOTTED ZLAMA ANGULAR"
"73A","◌ܺ","SYRIAC HBASA ABOVE"
"73B","◌ܻ","SYRIAC HBASA BELOW"
"73C","◌ܼ","SYRIAC HBASA-ESASA DOTTED"
"73D","◌ܽ","SYRIAC ESASA ABOVE"
"73E","◌ܾ","SYRIAC ESASA BELOW"
"73F","◌ܿ","SYRIAC RWAHA"
"741","◌݁","SYRIAC QUSHSHAYA"
"742","◌݂","SYRIAC RUKKAKHA"
"743","◌݃","SYRIAC TWO VERTICAL DOTS ABOVE"
"744","◌݄","SYRIAC TWO VERTICAL DOTS BELOW"
"745","◌݅","SYRIAC THREE DOTS ABOVE"
"746","◌݆","SYRIAC THREE DOTS BELOW"
"747","◌݇","SYRIAC OBLIQUE LINE ABOVE"
"748","◌݈","SYRIAC OBLIQUE LINE BELOW"
"749","◌݉","SYRIAC MUSIC"
"74A","◌݊","SYRIAC BARREKH"
"7A6","◌ަ","THAANA ABAFILI"
"7A7","◌ާ","THAANA AABAAFILI"
"7A8","◌ި","THAANA IBIFILI"
"7A9","◌ީ","THAANA EEBEEFILI"
"7AA","◌ު","THAANA UBUFILI"
"7AB","◌ޫ","THAANA OOBOOFILI"
"7AC","◌ެ","THAANA EBEFILI"
"7AD","◌ޭ","THAANA EYBEYFILI"
"7AE","◌ޮ","THAANA OBOFILI"
"7AF","◌ޯ","THAANA OABOAFILI"
"7B0","◌ް","THAANA SUKUN"
"7EB","◌߫","NKO COMBINING SHORT HIGH TONE"
"7EC","◌߬","NKO COMBINING SHORT LOW TONE"
"7ED","◌߭","NKO COMBINING SHORT RISING TONE"
"7EE","◌߮","NKO COMBINING LONG DESCENDING TONE"
"7EF","◌߯","NKO COMBINING LONG HIGH TONE"
"7F0","◌߰","NKO COMBINING LONG LOW TONE"
"7F1","◌߱","NKO COMBINING LONG RISING TONE"
"7F2","◌߲","NKO COMBINING NASALIZATION MARK"
"7F3","◌߳","NKO COMBINING DOUBLE DOT ABOVE"
"7FD","◌߽","NKO DANTAYALAN"
"816","◌ࠖ","SAMARITAN MARK IN"
"817","◌ࠗ","SAMARITAN MARK IN-ALAF"
"818","◌࠘","SAMARITAN MARK OCCLUSION"
"819","◌࠙","SAMARITAN MARK DAGESH"
"81B","◌ࠛ","SAMARITAN MARK EPENTHETIC YUT"
"81C","◌ࠜ","SAMARITAN VOWEL SIGN LONG E"
"81D","◌ࠝ","SAMARITAN VOWEL SIGN E"
"81E","◌ࠞ","SAMARITAN VOWEL SIGN OVERLONG AA"
"81F","◌ࠟ","SAMARITAN VOWEL SIGN LONG AA"
"820","◌ࠠ","SAMARITAN VOWEL SIGN AA"
"821","◌ࠡ","SAMARITAN VOWEL SIGN OVERLONG A"
"822","◌ࠢ","SAMARITAN VOWEL SIGN LONG A"
"823","◌ࠣ","SAMARITAN VOWEL SIGN A"
"825","◌ࠥ","SAMARITAN VOWEL SIGN SHORT A"
"826","◌ࠦ","SAMARITAN VOWEL SIGN LONG U"
"827","◌ࠧ","SAMARITAN VOWEL SIGN U"
"829","◌ࠩ","SAMARITAN VOWEL SIGN LONG I"
"82A","◌ࠪ","SAMARITAN VOWEL SIGN I"
"82B","◌ࠫ","SAMARITAN VOWEL SIGN O"
"82C","◌ࠬ","SAMARITAN VOWEL SIGN SUKUN"
"82D","◌࠭","SAMARITAN MARK NEQUDAA"
"859","◌࡙","MANDAIC AFFRICATION MARK"
"85A","◌࡚","MANDAIC VOCALIZATION MARK"
"85B","◌࡛","MANDAIC GEMINATION MARK"
"899","◌࢙","ARABIC SMALL LOW WORD ISHMAAM"
"89A","◌࢚","ARABIC SMALL LOW WORD IMAALA"
"89B","◌࢛","ARABIC SMALL LOW WORD TASHEEL"
"89C","◌࢜","ARABIC MADDA WAAJIB"
"89E","◌࢞","ARABIC DOUBLED MADDA"
"89F","◌࢟","ARABIC HALF MADDA OVER MADDA"
"8E4","◌ࣤ","ARABIC CURLY FATHA"
"8E5","◌ࣥ","ARABIC CURLY DAMMA"
"8E6","◌ࣦ","ARABIC CURLY KASRA"
"8E7","◌ࣧ","ARABIC CURLY FATHATAN"
"8E8","◌ࣨ","ARABIC CURLY DAMMATAN"
"8E9","◌ࣩ","ARABIC CURLY KASRATAN"
"8EA","◌࣪","ARABIC TONE ONE DOT ABOVE"
"8EB","◌࣫","ARABIC TONE TWO DOTS ABOVE"
"8EC","◌࣬","ARABIC TONE LOOP ABOVE"
"8ED","◌࣭","ARABIC TONE ONE DOT BELOW"
"8EE","◌࣮","ARABIC TONE TWO DOTS BELOW"
"8EF","◌࣯","ARABIC TONE LOOP BELOW"
"8F0","◌ࣰ","ARABIC OPEN FATHATAN"
"8F1","◌ࣱ","ARABIC OPEN DAMMATAN"
"8F2","◌ࣲ","ARABIC OPEN KASRATAN"
"8F4","◌ࣴ","ARABIC FATHA WITH RING"
"8F5","◌ࣵ","ARABIC FATHA WITH DOT ABOVE"
"8F6","◌ࣶ","ARABIC KASRA WITH DOT BELOW"
"8F7","◌ࣷ","ARABIC LEFT ARROWHEAD ABOVE"
"8F8","◌ࣸ","ARABIC RIGHT ARROWHEAD ABOVE"
"8F9","◌ࣹ","ARABIC LEFT ARROWHEAD BELOW"
"8FA","◌ࣺ","ARABIC RIGHT ARROWHEAD BELOW"
"8FB","◌ࣻ","ARABIC DOUBLE RIGHT ARROWHEAD ABOVE"
"8FC","◌ࣼ","ARABIC DOUBLE RIGHT ARROWHEAD ABOVE WITH DOT"
"8FD","◌ࣽ","ARABIC RIGHT ARROWHEAD ABOVE WITH DOT"
"8FE","◌ࣾ","ARABIC DAMMA WITH DOT"
